"Create_date","OptIn_date","OptOut_date","Email_status"
"10/16/2021 06:16 AM",,,"Unsubscribed"
"01/11/2021 12:39 PM","06/03/2018 04:02 AM",,"OptIn"
"08/14/2020 04:12 PM",,,"OptOut"
"03/05/2020 03:15 AM",,,"Unsubscribed"
"08/10/2020 03:28 PM",,,"Unsubscribed"
"06/03/2021 05:32 PM","02/17/2020 12:16 PM",,"Hard Bounce"
"08/14/2020 06:02 PM",,,"Hard Bounce"
"06/26/2021 03:35 PM","05/27/2020 12:17 PM",,"OptIn"
"03/13/2021 12:20 AM","02/21/2019 10:24 PM",,"OptIn"
"08/31/2021 11:55 AM","03/10/2021 03:45 PM",,"Hard Bounce"
"03/04/2021 01:08 AM","01/13/2019 07:49 PM",,"OptIn"
"12/21/2020 11:13 AM","03/03/2018 06:36 AM",,"OptIn"
"08/31/2021 02:46 PM","03/11/2021 04:09 AM",,"OptIn"
"08/25/2021 02:22 AM","02/10/2021 06:03 PM",,"OptIn"
"03/08/2021 12:49 PM","02/02/2019 09:30 AM",,"OptIn"
"09/28/2021 05:06 AM","07/09/2021 01:51 PM",,"OptIn"
"11/12/2020 05:37 AM",,,"Unsubscribed"
"10/05/2020 02:49 AM","03/30/2017 06:48 PM",,"OptIn"
"09/09/2021 07:05 PM","04/20/2021 06:02 AM",,"Hard Bounce"
"10/10/2020 05:30 PM","04/24/2017 06:11 AM",,"OptIn"
"07/15/2020 03:21 PM","04/09/2016 10:14 AM",,"Hard Bounce"
"08/18/2021 03:17 PM",,"08/18/2021 03:17 PM","OptOut"
"10/15/2021 01:35 PM","09/23/2021 06:20 AM",,"OptIn"
"10/04/2021 02:05 PM","08/06/2021 09:05 AM",,"OptIn"
"06/04/2021 09:41 AM","02/20/2020 10:43 AM",,"OptIn"
"07/27/2020 04:32 AM",,,"OptIn"
"03/04/2021 06:22 AM","01/14/2019 06:38 PM",,"OptIn"
"05/08/2021 04:49 AM",,,"OptOut"
"12/15/2020 03:26 AM","02/03/2018 04:37 PM",,"Hard Bounce"
"06/26/2021 08:26 AM","05/26/2020 05:05 AM",,"OptIn"
"02/14/2021 03:41 PM","10/29/2018 11:11 PM",,"OptIn"
"03/01/2021 01:15 AM",,,"OptOut"
"08/20/2021 05:20 PM","01/22/2021 03:59 PM",,"OptIn"
"12/31/2020 04:21 AM","04/14/2018 04:25 PM",,"OptIn"
"01/31/2020 08:23 AM",,,"Unsubscribed"
"05/10/2021 12:26 PM","11/03/2019 09:51 PM",,"OptIn"
"06/10/2021 01:24 PM",,"06/10/2021 01:24 PM","OptOut"
"06/14/2021 03:10 PM","04/05/2020 02:20 AM",,"OptIn"
