"VMail Message","Day Mins","Eve Mins","Night Mins","Intl Mins","CustServ Calls","Day Calls","Day Charge","Eve Calls","Eve Charge","Night Calls","Night Charge","Intl Calls","Intl Charge","Account Length","Int'l Plan","VMail Plan","Cluster","Cluster Label"
25,265.1,197.39999999999998,244.70000000000013,10,1,110,45.06999999999999,99,16.78,91.00000000000013,11.010000000000002,3.0000000000000004,2.7,128,0,1,"cluster_0","Label1"
39,213,191.1,182.70000000000007,9.5,0,115.00000000000001,36.21,112,16.24,115.00000000000016,8.22,3.0000000000000004,2.57,57,0,1,"cluster_0","Label1"
37,220,217.3,152.8000000000001,14.7,3,80,37.39999999999999,102,18.47,71.00000000000009,6.88,6.000000000000001,3.97,72,0,1,"cluster_0","Label1"
30,198.40000000000003,75.3,181.20000000000007,5.8,3,129,33.72999999999999,77,6.4,77.00000000000011,8.15,3.0000000000000004,1.57,121,0,1,"cluster_0","Label1"
34,268.6,178.2,166.3000000000001,11.6,2,83,45.65999999999999,142,15.15,106.00000000000014,7.48,3.0000000000000004,3.13,116,0,1,"cluster_0","Label1"
28.000000000000004,180.7,187.8,265.5000000000001,12.6,3,92,30.72,64,15.959999999999999,53.00000000000007,11.95,3.0000000000000004,3.4,149.00000000000003,0,1,"cluster_0","Label1"
46,224.90000000000003,188.2,254.60000000000014,12.1,0,97,38.23,84,16,61.000000000000085,11.46,2,3.27,162,0,1,"cluster_0","Label1"
24,249.5,259.7,222.70000000000013,9.8,1,100.99999999999999,42.42,97.99999999999999,22.07,68.0000000000001,10.02,4,2.65,70.00000000000001,0,1,"cluster_0","Label1"
29,281.4,202.2,187.20000000000007,9,2,102,47.84,76,17.19,113.00000000000016,8.420000000000002,6.000000000000001,2.43,36.00000000000001,0,1,"cluster_0","Label1"
22,213.8,141.8,142.20000000000005,7.200000000000001,0,102,36.35,86,12.05,123.00000000000017,6.4,3.0000000000000004,1.94,41,0,1,"cluster_0","Label1"
27,187.5,146.6,225.7000000000001,6.400000000000001,4,123.99999999999999,31.88,102.99999999999999,12.46,129.00000000000017,10.16,6.000000000000001,1.73,61,0,1,"cluster_0","Label1"
36,214.2,161.7,264.7000000000001,9.5,3,115.00000000000001,36.40999999999999,117,13.74,102.00000000000014,11.91,4,2.57,131,0,1,"cluster_0","Label1"
36,183.20000000000002,126.8,263.3000000000001,11.2,1,117,31.139999999999997,76,10.78,71.00000000000009,11.849999999999998,8,3.02,127.00000000000001,0,1,"cluster_0","Label1"
23,205,151.99999999999997,158.60000000000008,10.2,2,100.99999999999999,34.85,59.99999999999999,12.92,59.00000000000008,7.14,5,2.75,113,0,1,"cluster_0","Label1"
39,200.30000000000004,220.4,253.80000000000018,10.5,0,68,34.04999999999999,97,18.73,116.00000000000016,11.419999999999998,4,2.8400000000000003,120,0,1,"cluster_0","Label1"
43,257.7,162.1,286.9000000000001,11.100000000000001,2,97,43.809999999999995,95,13.78,86.00000000000011,12.91,4,3.0000000000000004,145,0,1,"cluster_0","Label1"
33,243.10000000000002,213.79999999999998,228.70000000000013,12.1,2,92,41.33,92,18.17,104.00000000000014,10.29,2,3.27,92,0,1,"cluster_0","Label1"
30.999999999999996,189.8,163.3,264.8000000000001,7.5,1,126,32.27,133,13.88,126.00000000000017,11.920000000000002,3.0000000000000004,2.03,185,0,1,"cluster_0","Label1"
23,289.5,166.6,119.10000000000005,9.5,1,51.99999999999999,49.21999999999999,111,14.16,88.00000000000013,5.360000000000001,4,2.57,118.00000000000001,0,1,"cluster_0","Label1"
23,198.1,177,180.50000000000009,6.800000000000001,1,86,33.68,86,15.05,92.00000000000013,8.12,6.000000000000001,1.84,117,0,1,"cluster_0","Label1"
23,280.2,220.49999999999997,136.90000000000006,13.3,4,136,47.63,92,18.74,102.00000000000014,6.160000000000001,3.0000000000000004,3.59,104,0,1,"cluster_0","Label1"
40,202.60000000000002,118.79999999999998,234.90000000000015,9,2,103,34.44,128,10.1,98.00000000000013,10.57,9,2.43,110.00000000000001,0,1,"cluster_0","Label1"
28.000000000000004,225.80000000000004,193,232.40000000000012,8.4,4,94,38.39,117,16.41,100.00000000000014,10.46,9,2.27,114,0,1,"cluster_0","Label1"
48,189.8,123.4,214.2000000000001,6.5,2,96,32.27,67,10.49,106.00000000000014,9.64,2,1.76,144,0,1,"cluster_0","Label1"
25,192.7,225.9,254.2000000000001,10.9,2,85,32.76,105,19.2,59.00000000000008,11.440000000000001,6.000000000000001,2.94,131,0,1,"cluster_0","Label1"
37,211.70000000000002,159.9,144.10000000000005,12.2,1,115.00000000000001,35.99,84,13.59,80.00000000000011,6.48,1,3.2900000000000005,48.00000000000001,0,1,"cluster_0","Label1"
34,230.6,219.4,299.3000000000001,8,0,120.99999999999999,39.199999999999996,99,18.65,94.00000000000013,13.470000000000002,2,2.16,199,0,1,"cluster_0","Label1"
18,172.7,133.4,259.5000000000001,9.8,1,86,29.36,113,11.34,70.00000000000009,11.68,3.0000000000000004,2.65,96,0,1,"cluster_0","Label1"
38,236.3,195.9,183.50000000000009,9.7,1,102,40.17,112,16.65,82.00000000000011,8.26,6.000000000000001,2.62,110.00000000000001,0,1,"cluster_0","Label1"
33,239.20000000000002,235.49999999999997,156.30000000000007,9.5,1,109,40.66,112,20.02,95.00000000000013,7.03,4,2.57,143,0,1,"cluster_0","Label1"
17,214.70000000000002,138.5,169.10000000000008,8.6,1,97,36.5,90,11.77,44.000000000000064,7.61,4,2.32,151,0,1,"cluster_0","Label1"
34,221.80000000000004,161.7,227.7000000000001,14.000000000000002,0,105,37.71,85,13.74,62.000000000000085,10.25,7.000000000000001,3.78,44.00000000000001,0,1,"cluster_0","Label1"
21,214,180,134.50000000000006,10.600000000000001,0,113,36.38,113.99999999999999,15.300000000000002,82.00000000000011,6.05,5,2.86,87.00000000000001,0,1,"cluster_0","Label1"
22,278.3,93.4,107.60000000000002,9.7,0,89,47.31,143,7.94,42.00000000000006,4.84,5,2.62,98,0,1,"cluster_0","Label1"
45,248.80000000000004,140.3,263.60000000000014,10.3,3,123.99999999999999,42.3,77,11.93,102.00000000000014,11.86,2,2.78,96,0,1,"cluster_0","Label1"
16,221.60000000000002,130.2,200.00000000000009,11.3,1,110,37.669999999999995,123,11.070000000000002,108.00000000000014,9,3.0000000000000004,3.05,112,0,1,"cluster_0","Label1"
30.999999999999996,288.7,203.8,203.20000000000007,8.6,0,100.99999999999999,49.08,102,17.32,49.000000000000064,9.14,3.0000000000000004,2.32,61,0,1,"cluster_0","Label1"
29,240.4,118.9,164.20000000000007,11.2,1,80,40.87,91,10.11,108.00000000000014,7.39,3.0000000000000004,3.02,58,0,1,"cluster_0","Label1"
27,273.4,154,245.80000000000013,12.300000000000002,1,141,46.48,99,13.090000000000002,112.00000000000016,11.060000000000002,6.000000000000001,3.3199999999999994,135,0,1,"cluster_0","Label1"
21,264.3,202.79999999999998,173.4000000000001,6.3,4,79,44.93,118,17.24,92.00000000000013,7.8,3.0000000000000004,1.7,79.00000000000001,0,1,"cluster_0","Label1"
36,226.2,181.6,258.8000000000001,10.5,3,103,38.449999999999996,124.99999999999999,15.44,102.00000000000014,11.649999999999999,5,2.8400000000000003,132,0,1,"cluster_0","Label1"
20,214.60000000000002,235.1,162.8000000000001,14.800000000000002,0,100.99999999999999,36.48,132,19.98,132.00000000000017,7.330000000000001,12.000000000000002,4,139,0,1,"cluster_0","Label1"
36,178.7,178.6,126.80000000000004,8,2,134,30.38,102,15.18,82.00000000000011,5.71,4,2.16,93,0,1,"cluster_0","Label1"
28.000000000000004,251.4,225.09999999999997,251.90000000000015,7.5,1,103.99999999999999,42.739999999999995,89,19.130000000000003,121.00000000000016,11.34,5,2.03,124.00000000000001,0,1,"cluster_0","Label1"
27,253.7,229.2,190.50000000000009,9.2,6.999999999999999,83.99999999999999,43.13,108.99999999999999,19.48,123.00000000000017,8.57,5,2.48,122,0,1,"cluster_0","Label1"
36,201.30000000000004,42.2,125.70000000000005,5.4,1,117,34.22,78,3.59,104.00000000000014,5.66,3.0000000000000004,1.4600000000000002,125.00000000000001,0,1,"cluster_0","Label1"
29,209.9,158,141.90000000000006,6.6000000000000005,0,77,35.68,52.00000000000001,13.430000000000001,113.00000000000016,6.39,1,1.78,150,0,1,"cluster_0","Label1"
30.999999999999996,237.10000000000002,205.59999999999997,196.70000000000007,10.1,4,63,40.31,117,17.48,85.00000000000011,8.85,5,2.73,121,0,1,"cluster_0","Label1"
25,194.6,119.9,175.50000000000009,13.100000000000001,2,83.99999999999999,33.08,102.99999999999999,10.19,75.00000000000009,7.9,2,3.54,74,0,1,"cluster_0","Label1"
36,309.9,200.3,183.50000000000009,14.2,1,90,52.67999999999999,89,17.03,105.00000000000014,8.26,2,3.83,114,0,1,"cluster_0","Label1"
25,223.2,183.2,150.8000000000001,10.2,3,77,37.93999999999999,118,15.57,90.00000000000013,6.79,3.0000000000000004,2.75,171,0,1,"cluster_0","Label1"
46,214.1,200.9,246.80000000000015,9.2,0,61.99999999999999,36.4,111,17.08,126.00000000000017,11.11,6.000000000000001,2.48,75.00000000000001,0,1,"cluster_0","Label1"
37,239.80000000000004,221.9,189.10000000000008,7.3,2,110,40.77,115,18.860000000000003,100.00000000000014,8.51,1,1.9700000000000002,41,0,1,"cluster_0","Label1"
