"Age","Workclass","fnlwgt","Education","Education-Num","Marital Status","Occupation","Relationship","Race","Sex","Capital Gain","Capital Loss","Hours per week","Country","Income","Gender with Income","RowID","Census Year"
45,"Private",386940,"Bachelors",13,"Divorced","Exec-managerial","Own-child","White","Male",0.7535815746839889,1408.3431564912064,40,"United-States","below50K","Male-below50K","Row32",1994
25,"Private",32275,"Some-college",10,"Married-civ-spouse","Exec-managerial","Wife","Other","Female",0.7301809420093104,0.09490750532142674,40,"United-States","below50K","Female-below50K","Row50",1994
19,"Private",101509,"Some-college",10,"Never-married","Prof-specialty","Own-child","White","Male",0.8722055322546997,0.25564239176951553,32,"United-States","below50K","Male-below50K","Row70",1994
37,"Private",286730,"Some-college",10,"Divorced","Craft-repair","Unmarried","White","Female",0.7746069105408427,0.20648629417640657,40,"United-States","below50K","Female-below50K","Row91",1994
17,,304873,"10th",6,"Never-married",,"Own-child","White","Female",34095.7100841744,0.05607117084750787,32,"United-States","below50K","Female-below50K","Row106",1994
30,"Private",194901,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0.7073331583754957,0.20380722436707444,40,"United-States","below50K","Male-below50K","Row107",1994
56,"Self-emp-inc",303090,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0.8324988881155339,0.1337594234735864,50,"United-States","below50K","Male-below50K","Row116",1994
66,"Local-gov",54826,"Assoc-voc",11,"Widowed","Prof-specialty","Not-in-family","White","Female",0.9296367804340832,0.1614859785943395,20,"United-States","below50K","Female-below50K","Row169",1994
47,"Private",120939,"Some-college",10,"Married-civ-spouse","Tech-support","Husband","White","Male",0.8802047895228278,0.20181164686670203,45,"United-States","below50K","Male-below50K","Row193",1994
36,"Private",150042,"Bachelors",13,"Divorced","Prof-specialty","Own-child","White","Female",0.7956064129099554,0.31470797365414777,40,"United-States","below50K","Female-below50K","Row260",1994
37,"Self-emp-inc",57424,"Bachelors",13,"Divorced","Sales","Not-in-family","White","Female",0.8610853596951258,0.28934188870141875,60,"United-States","below50K","Female-below50K","Row296",1994
36,"Self-emp-not-inc",205607,"Bachelors",13,"Divorced","Prof-specialty","Not-in-family","Black","Female",0.773716855139665,0.1933454543832785,40,"United-States","above50K","Female-above50K","Row313",1994
20,"Local-gov",350845,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0.7930217050226236,0.020927583960103288,10,"United-States","below50K","Female-below50K","Row375",1994
38,"Private",172927,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0.8331526587423782,0.06455582557914431,50,"United-States","below50K","Male-below50K","Row379",1994
28,"State-gov",70100,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0.8830398750034447,0.13006265441190845,20,"United-States","below50K","Male-below50K","Row482",1994
