"ID","DEFAULT_STATUS"
77516,1
83311,1
215646,1
234721,1
338409,1
284582,1
160187,1
209642,0
45781,0
159449,0
280464,0
141297,0
122272,1
205019,1
121772,0
245487,1
176756,1
186824,1
28887,1
292175,0
193524,0
302146,1
76845,1
117037,1
109015,1
216851,0
168294,1
180211,0
367260,1
193366,1
190709,1
266015,1
386940,1
59951,1
311512,1
242406,1
197200,1
544091,1
84154,0
265477,1
507875,1
88506,1
172987,1
94638,1
289980,1
337895,0
144361,1
128354,1
101603,1
271466,1
32275,1
226956,1
51835,0
251585,0
109832,1
237993,0
216666,1
56352,1
147372,1
188146,1
59496,1
293936,1
149640,1
116632,0
105598,1
155537,1
183175,1
169846,0
191681,0
200681,1
101509,1
309974,1
162298,0
211678,1
124744,1
213921,1
32214,1
212759,1
309634,1
125927,1
446839,1
276515,1
51618,1
159937,1
343591,0
346253,1
268234,0
202051,1
54334,1
410867,0
249977,1
286730,1
212563,1
117747,1
226296,0
115585,1
191277,0
202683,0
171095,1
249409,1
124191,0
198282,0
149116,1
188300,1
103432,1
317660,0
304873,1
194901,1
189265,1
124692,1
432376,1
65324,0
335605,0
377869,1
102864,1
95647,1
303090,1
197371,0
247552,1
102632,1
199915,1
118853,1
77143,1
267989,0
301606,1
287828,0
111697,1
114937,0
129305,1
365739,1
69621,1
43323,1
120985,1
254202,1
146195,1
125933,0
56920,1
163127,1
34310,1
81973,0
66614,1
232782,1
316868,1
196584,0
105376,1
185814,1
175374,1
108293,1
181232,1
174662,1
186009,1
198183,1
163003,1
296158,1
252903,0
187715,1
214542,1
494223,1
191535,1
228456,1
38317,1
252752,1
78374,1
88419,1
201080,0
207157,1
235485,1
102628,1
25828,1
54826,1
124953,1
175325,1
96062,0
428030,1
149624,0
253814,1
312956,1
483777,1
183930,1
37274,1
181344,0
114580,1
633742,1
286370,0
29054,0
304030,1
143129,1
135105,1
99928,1
109567,0
155222,1
159567,1
523910,1
120939,1
130760,1
197387,1
99374,1
56795,0
138992,0
32921,1
397317,1
170653,1
259323,0
254817,1
48211,1
140164,1
128757,0
36270,1
210563,0
65368,1
160943,1
208358,0
153790,1
85815,1
125417,0
635913,0
313321,1
182609,1
109434,1
255004,1
197860,1
187656,1
51744,1
176681,1
140359,1
243313,1
24215,1
167687,1
314209,1
176796,1
538583,1
130408,1
159732,1
110978,1
76714,0
268700,1
170525,1
180138,0
115076,0
115458,1
347890,0
196001,1
273905,1
119156,1
179488,1
203580,1
236596,0
183916,1
207578,0
153141,1
112763,0
390781,1
171328,1
27382,1
259014,1
303044,0
117789,1
172579,1
187666,1
204518,1
150042,1
98092,1
245918,1
146013,1
378322,1
257295,0
218956,1
21174,0
185480,1
222205,0
69867,0
191260,1
30653,1
209109,1
70377,1
477983,1
170924,0
190174,1
193787,1
279472,0
34918,1
97688,0
175413,1
173960,1
205759,1
425161,0
220531,0
176609,1
371987,1
193884,1
200352,1
127595,1
220419,1
231931,1
248402,1
111095,1
57424,1
157443,1
278130,1
169469,1
146268,0
153718,1
217460,0
238638,0
303296,1
173321,1
193945,1
83082,1
193815,0
34987,0
59306,1
142897,0
860348,1
205607,0
199698,1
191954,1
138714,1
399087,1
423158,1
159841,1
174308,1
50356,1
186110,1
200381,1
174309,1
78383,1
211601,1
187728,0
321171,1
127921,1
206565,1
224563,1
178686,1
98545,1
242606,1
270942,1
94235,1
71195,1
104112,1
261192,1
94936,1
296478,0
119272,0
85043,1
293364,1
241895,1
36135,1
151989,1
101128,1
156464,1
117963,0
192262,1
111363,0
329752,1
372020,0
95432,0
161400,1
96129,0
111949,1
117125,1
348022,1
270092,0
180609,1
174575,0
410439,1
92262,1
183081,1
362589,1
212448,0
481060,1
185885,1
89821,1
184018,0
256649,1
160323,1
350845,1
267404,1
35633,1
80914,1
172927,1
174319,1
214955,1
344991,1
108699,1
117312,1
396099,1
134152,1
162028,0
25429,1
232392,1
220098,0
301302,1
277946,1
98101,0
196164,1
115562,1
96975,1
137300,1
86872,0
132178,0
416103,1
108574,1
288353,0
227689,1
166481,1
445382,0
110145,1
317253,1
123147,0
364657,1
42346,1
241951,1
118500,1
188386,0
1033222,1
92440,0
190762,1
426017,1
243867,1
240283,1
61777,1
175024,1
92003,0
188401,1
228528,1
133373,1
255191,1
204653,1
222289,0
287480,1
107762,1
202521,1
204116,1
29662,0
116358,1
208405,0
284843,1
117018,1
81281,1
340148,1
363425,1
45857,1
191073,1
116632,0
405855,1
298227,1
290521,1
56915,1
146538,1
258872,1
206399,1
197332,0
245062,0
197583,0
234885,0
72887,0
180374,1
351299,1
54012,1
115745,1
116632,1
288825,1
132601,1
193374,1
170070,1
126708,1
35598,1
33983,1
192776,0
118551,0
201965,0
139883,1
285020,1
303990,1
49401,1
279196,1
211870,1
281432,1
161155,1
197904,1
111746,1
170721,1
70100,1
193626,1
271749,1
189775,1
401531,1
286967,1
164427,1
91039,0
347934,1
371373,1
32220,1
187251,1
178107,1
343121,1
262749,1
403107,1
64293,1
303588,1
324960,1
114060,1
48925,1
180980,1
181054,1
388093,1
249609,1
112131,1
543162,1
91996,1
141944,1
251804,1
37070,1
337587,0
189346,1
222216,1
267044,1
214635,1
204226,1
108116,0
99146,0
196232,0
248344,1
186035,0
177905,0
85812,1
221172,0
99183,1
190387,1
202692,1
109339,1
108658,1
197202,1
101739,0
231559,0
207853,1
190942,1
102345,1
41493,1
190027,1
210525,1
133937,1
237903,1
163862,1
201872,1
84179,1
51662,1
233327,1
259510,1
184831,1
245724,1
27053,1
205343,1
229328,1
319560,0
136218,1
54576,1
323069,1
148291,1
152453,1
114053,1
212960,0
264052,0
82804,1
334273,0
27337,1
188436,1
433665,1
110663,1
87490,1
354351,1
95469,1
242718,1
22463,0
158156,1
350162,0
165532,1
28738,1
283635,1
86646,1
195733,0
69884,0
199713,1
181659,1
340939,1
197747,1
34292,1
156764,1
25826,0
103948,1
137390,1
105138,1
39352,0
168387,0
117789,1
267147,1
99399,1
214242,0
200408,1
136455,1
239824,1
217039,1
51290,1
175674,1
194404,1
45612,1
410114,0
182521,1
339772,1
169658,1
200853,1
247564,1
249909,1
208122,1
109881,1
207824,1
369027,1
114117,1
51048,1
102388,0
190483,1
462440,1
109351,1
34383,1
241832,1
124187,1
153614,0
267556,1
205469,0
268090,0
165039,1
120451,1
154374,0
103649,0
35723,1
262601,1
226181,1
175697,0
248145,1
289436,0
75654,1
199378,1
160968,1
188563,0
55849,1
195322,0
402089,1
78277,1
