"ID","MONTHS_IN_BUSINESS","OPERATOR_TYPE","EMPLOYEE_TYPE","EMPLOYEE_COUNT","NUM_ACCOUNTS_SERVED","SECTOR","CREDIT_TERM_REQUESTED","LOCATIONS_NUMBER_SERVICED","OWN_REALTY","CAPITAL_GAIN","CAPITAL_LOSS","CONTRACTS_AWARDED","NATIVE_COUNTRY"
77516,39,"Regional","Bachelors",13,5,"Adm-clerical","6",1,"Y",2174,0,40,"United-States"
83311,50,"Self-emp-not-inc","Bachelors",13,6,"Exec-managerial","3",1,"Y",0,0,13,"United-States"
215646,38,"Private","HS-grad",9,1,"Handlers-cleaners","6",1,"Y",0,0,40,"United-States"
234721,53,"Private","11th",7,6,"Handlers-cleaners","3",2,"Y",0,0,40,"United-States"
338409,28,"Private","Bachelors",13,6,"Prof-specialty","24+",2,"N",0,0,40,"Cuba"
284582,37,"Private","Masters",14,6,"Exec-managerial","24+",1,"N",0,0,40,"United-States"
160187,49,"Private","9th",5,2,"Other-service","6",2,"N",0,0,16,"Jamaica"
209642,52,"Self-emp-not-inc","HS-grad",9,6,"Exec-managerial","3",1,"Y",0,0,45,"United-States"
45781,31,"Private","Masters",14,5,"Prof-specialty","6",1,"N",14084,0,50,"United-States"
159449,42,"Private","Bachelors",13,6,"Exec-managerial","3",1,"Y",5178,0,40,"United-States"
280464,37,"Private","Some-college",10,6,"Exec-managerial","3",2,"Y",0,0,80,"United-States"
141297,30,"Regional","Bachelors",13,6,"Prof-specialty","3",4,"Y",0,0,40,"India"
122272,23,"Private","Bachelors",13,5,"Adm-clerical","12",1,"N",0,0,30,"United-States"
205019,32,"Private","Assoc-acdm",12,5,"Sales","6",2,"Y",0,0,50,"United-States"
121772,40,"Private","Assoc-voc",11,6,"Craft-repair","3",4,"Y",0,0,40,"?"
245487,34,"Private","7th-8th",4,6,"Transport-moving","3",5,"Y",0,0,45,"Mexico"
176756,25,"Self-emp-not-inc","HS-grad",9,5,"Farming-fishing","12",1,"Y",0,0,35,"United-States"
186824,32,"Private","HS-grad",9,5,"Machine-op-inspct","18",1,"Y",0,0,40,"United-States"
28887,38,"Private","11th",7,6,"Sales","3",1,"Y",0,0,50,"United-States"
292175,43,"Self-emp-not-inc","Masters",14,1,"Exec-managerial","18",1,"N",0,0,45,"United-States"
193524,40,"Private","Doctorate",16,6,"Prof-specialty","3",1,"Y",0,0,60,"United-States"
302146,54,"Private","HS-grad",9,4,"Other-service","18",2,"N",0,0,20,"United-States"
76845,35,"Global","9th",5,6,"Farming-fishing","3",2,"Y",0,0,40,"United-States"
117037,43,"Private","11th",7,6,"Transport-moving","3",1,"Y",0,2042,40,"United-States"
109015,59,"Private","HS-grad",9,1,"Tech-support","18",1,"N",0,0,40,"United-States"
216851,56,"State","Bachelors",13,6,"Tech-support","3",1,"Y",0,0,40,"United-States"
168294,19,"Private","HS-grad",9,5,"Craft-repair","12",1,"Y",0,0,40,"United-States"
180211,54,"?","Some-college",10,6,"?","3",4,"Y",0,0,60,"South"
367260,39,"Private","HS-grad",9,1,"Exec-managerial","6",1,"Y",0,0,80,"United-States"
193366,49,"Private","HS-grad",9,6,"Craft-repair","3",1,"Y",0,0,40,"United-States"
190709,23,"State","Assoc-acdm",12,5,"Protective-serv","6",1,"Y",0,0,52,"United-States"
266015,20,"Private","Some-college",10,5,"Sales","12",2,"Y",0,0,44,"United-States"
386940,45,"Private","Bachelors",13,1,"Exec-managerial","12",1,"Y",0,1408,40,"United-States"
59951,30,"Global","Some-college",10,6,"Adm-clerical","12",1,"Y",0,0,40,"United-States"
311512,22,"Regional","Some-college",10,6,"Other-service","3",2,"Y",0,0,15,"United-States"
242406,48,"Private","11th",7,5,"Machine-op-inspct","18",1,"Y",0,0,40,"Puerto-Rico"
197200,21,"Private","Some-college",10,5,"Machine-op-inspct","12",1,"Y",0,0,40,"United-States"
544091,19,"Private","HS-grad",9,3,"Adm-clerical","24+",1,"N",0,0,25,"United-States"
84154,31,"Private","Some-college",10,6,"Sales","3",1,"Y",0,0,38,"?"
265477,48,"Self-emp-not-inc","Assoc-acdm",12,6,"Prof-specialty","3",1,"Y",0,0,40,"United-States"
507875,31,"Private","9th",5,6,"Machine-op-inspct","3",1,"Y",0,0,43,"United-States"
88506,53,"Self-emp-not-inc","Bachelors",13,6,"Prof-specialty","3",1,"Y",0,0,40,"United-States"
172987,24,"Private","Bachelors",13,6,"Tech-support","3",1,"Y",0,0,50,"United-States"
94638,49,"Private","HS-grad",9,4,"Adm-clerical","18",1,"N",0,0,40,"United-States"
289980,25,"Private","HS-grad",9,5,"Handlers-cleaners","6",1,"Y",0,0,35,"United-States"
337895,57,"Global","Bachelors",13,6,"Prof-specialty","3",2,"Y",0,0,40,"United-States"
144361,53,"Private","HS-grad",9,6,"Machine-op-inspct","3",1,"Y",0,0,38,"United-States"
128354,44,"Private","Masters",14,1,"Exec-managerial","18",1,"N",0,0,40,"United-States"
101603,41,"Regional","Assoc-voc",11,6,"Craft-repair","3",1,"Y",0,0,40,"United-States"
271466,29,"Private","Assoc-voc",11,5,"Prof-specialty","6",1,"Y",0,0,43,"United-States"
32275,25,"Private","Some-college",10,6,"Exec-managerial","24+",3,"N",0,0,40,"United-States"
226956,18,"Private","HS-grad",9,5,"Other-service","12",1,"N",0,0,30,"?"
51835,47,"Private","Prof-school",15,6,"Prof-specialty","24+",1,"N",0,1902,60,"Honduras"
251585,50,"Global","Bachelors",13,1,"Exec-managerial","6",1,"Y",0,0,55,"United-States"
109832,47,"Self-emp-inc","HS-grad",9,1,"Exec-managerial","6",1,"Y",0,0,60,"United-States"
237993,43,"Private","Some-college",10,6,"Tech-support","3",1,"Y",0,0,40,"United-States"
216666,46,"Private","5th-6th",3,6,"Machine-op-inspct","3",1,"Y",0,0,40,"Mexico"
56352,35,"Private","Assoc-voc",11,6,"Other-service","3",1,"Y",0,0,40,"Puerto-Rico"
147372,41,"Private","HS-grad",9,6,"Adm-clerical","3",1,"Y",0,0,48,"United-States"
188146,30,"Private","HS-grad",9,6,"Machine-op-inspct","3",1,"Y",5013,0,40,"United-States"
59496,30,"Private","Bachelors",13,6,"Sales","3",1,"Y",2407,0,40,"United-States"
293936,32,"?","7th-8th",4,2,"?","6",1,"Y",0,0,40,"?"
149640,48,"Private","HS-grad",9,6,"Transport-moving","3",1,"Y",0,0,40,"United-States"
116632,42,"Private","Doctorate",16,6,"Prof-specialty","3",1,"Y",0,0,45,"United-States"
105598,29,"Private","Some-college",10,1,"Tech-support","6",1,"Y",0,0,58,"United-States"
155537,36,"Private","HS-grad",9,6,"Craft-repair","3",1,"Y",0,0,40,"United-States"
183175,28,"Private","Some-college",10,1,"Adm-clerical","6",1,"N",0,0,40,"United-States"
169846,53,"Private","HS-grad",9,6,"Adm-clerical","24+",1,"N",0,0,40,"United-States"
191681,49,"Self-emp-inc","Some-college",10,6,"Exec-managerial","3",1,"Y",0,0,50,"United-States"
200681,25,"?","Some-college",10,5,"?","12",1,"Y",0,0,40,"United-States"
101509,19,"Private","Some-college",10,5,"Prof-specialty","12",1,"Y",0,0,32,"United-States"
309974,31,"Private","Bachelors",13,4,"Sales","12",2,"N",0,0,40,"United-States"
162298,29,"Self-emp-not-inc","Bachelors",13,6,"Sales","3",1,"Y",0,0,70,"United-States"
211678,23,"Private","Some-college",10,5,"Machine-op-inspct","6",1,"Y",0,0,40,"United-States"
124744,79,"Private","Some-college",10,6,"Prof-specialty","9",1,"Y",0,0,20,"United-States"
213921,27,"Private","HS-grad",9,5,"Other-service","12",1,"Y",0,0,40,"Mexico"
32214,40,"Private","Assoc-acdm",12,6,"Adm-clerical","3",1,"Y",0,0,40,"United-States"
212759,67,"?","10th",6,6,"?","3",1,"Y",0,0,2,"United-States"
309634,18,"Private","11th",7,5,"Other-service","12",1,"N",0,0,22,"United-States"
125927,31,"State","7th-8th",4,6,"Farming-fishing","3",1,"Y",0,0,40,"United-States"
446839,18,"Private","HS-grad",9,5,"Sales","6",1,"Y",0,0,30,"United-States"
276515,52,"Private","Bachelors",13,6,"Other-service","3",1,"Y",0,0,40,"Cuba"
51618,46,"Private","HS-grad",9,6,"Other-service","24+",1,"N",0,0,40,"United-States"
159937,59,"Private","HS-grad",9,6,"Sales","3",1,"Y",0,0,48,"United-States"
343591,44,"Private","HS-grad",9,1,"Craft-repair","6",1,"N",14344,0,40,"United-States"
346253,53,"Private","HS-grad",9,1,"Sales","12",1,"N",0,0,35,"United-States"
268234,49,"State","HS-grad",9,6,"Protective-serv","3",1,"Y",0,0,40,"United-States"
202051,33,"Private","Masters",14,6,"Prof-specialty","3",1,"Y",0,0,50,"United-States"
54334,30,"Private","9th",5,5,"Sales","6",1,"Y",0,0,40,"United-States"
410867,43,"Global","Doctorate",16,5,"Prof-specialty","6",1,"N",0,0,50,"United-States"
249977,57,"Private","Assoc-voc",11,6,"Prof-specialty","3",1,"Y",0,0,40,"United-States"
286730,37,"Private","Some-college",10,1,"Craft-repair","18",1,"N",0,0,40,"United-States"
212563,28,"Private","Some-college",10,1,"Machine-op-inspct","18",2,"N",0,0,25,"United-States"
117747,30,"Private","HS-grad",9,6,"Sales","24+",4,"N",0,1573,35,"?"
226296,34,"State","Bachelors",13,6,"Protective-serv","3",1,"Y",0,0,40,"United-States"
115585,29,"State","Some-college",10,5,"Handlers-cleaners","6",1,"Y",0,0,50,"United-States"
191277,48,"Self-emp-not-inc","Doctorate",16,6,"Prof-specialty","3",1,"Y",0,1902,60,"United-States"
202683,37,"Private","Some-college",10,6,"Sales","3",1,"Y",0,0,48,"United-States"
171095,48,"Private","Assoc-acdm",12,1,"Exec-managerial","18",1,"N",0,0,40,"England"
249409,32,"Global","HS-grad",9,5,"Other-service","12",2,"Y",0,0,40,"United-States"
124191,76,"Private","Masters",14,6,"Exec-managerial","3",1,"Y",0,0,40,"United-States"
198282,44,"Private","Bachelors",13,6,"Exec-managerial","3",1,"Y",15024,0,60,"United-States"
149116,47,"Self-emp-not-inc","Masters",14,5,"Prof-specialty","6",1,"N",0,0,50,"United-States"
188300,20,"Private","Some-college",10,5,"Tech-support","12",1,"N",0,0,40,"United-States"
103432,29,"Private","HS-grad",9,5,"Craft-repair","6",1,"Y",0,0,40,"United-States"
317660,32,"Self-emp-inc","HS-grad",9,6,"Craft-repair","3",1,"Y",7688,0,40,"United-States"
304873,17,"?","10th",6,5,"?","12",1,"N",34095,0,32,"United-States"
194901,30,"Private","11th",7,5,"Handlers-cleaners","12",1,"Y",0,0,40,"United-States"
189265,31,"State","HS-grad",9,5,"Adm-clerical","6",1,"N",0,0,40,"United-States"
124692,42,"Private","HS-grad",9,6,"Handlers-cleaners","3",1,"Y",0,0,40,"United-States"
432376,24,"Private","Bachelors",13,5,"Sales","9",1,"Y",0,0,40,"United-States"
65324,38,"Private","Prof-school",15,6,"Prof-specialty","3",1,"Y",0,0,40,"United-States"
335605,56,"Self-emp-not-inc","HS-grad",9,6,"Other-service","3",1,"Y",0,1887,50,"Canada"
