"Status of existing checking account","Credit history","Savings account/bonds","Present employment since","Installment rate in percentage of disposable income","Personal status and sex","Other debtors / guarantors","Present residence since","Property","Age in years","Other installment plans","Housing","Number of existing credits at this bank","Job","Number of people being liable to provide maintenance for","Telephone","Foreign worker","Score","ClientID"
"Negative","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"real estate",67,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",10203
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",2,"real estate",22,"none","own",1,"skilled employee / official",1,"none","Yes","bad",10216
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",2,"male (single)","none",3,"real estate",49,"none","own",1,"unskilled - resident",2,"none","Yes","good",10229
"Negative","existing credits paid back duly till now","less than 100","4 to 7 years",2,"male (single)","guarantor",4,"building society savings agreement/ life insurance",45,"none","for free",1,"skilled employee / official",2,"none","Yes","good",10242
"Negative","delay in paying off in the past","less than 100","1 to 4 years",3,"male (single)","none",4,"unknown / no property",53,"none","for free",2,"skilled employee / official",2,"none","Yes","bad",10255
"No checking account","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",2,"male (single)","none",4,"unknown / no property",35,"none","for free",1,"unskilled - resident",2,"yes, registered under the customers name","Yes","good",10268
"No checking account","existing credits paid back duly till now","500 to 1000","more than 7 years",3,"male (single)","none",4,"building society savings agreement/ life insurance",53,"none","own",1,"skilled employee / official",1,"none","Yes","good",10281
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","none",2,"car or other",35,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",10294
"No checking account","existing credits paid back duly till now","more than 1000","4 to 7 years",2,"male (divorced/separated)","none",4,"real estate",61,"none","own",1,"unskilled - resident",1,"none","Yes","good",10307
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","Unemployed",4,"male (married/widowed)","none",2,"car or other",28,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"none","Yes","bad",10320
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",3,"female (divorced/separated/married)","none",1,"car or other",25,"none","rent",1,"skilled employee / official",1,"none","Yes","bad",10333
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",3,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",24,"none","rent",1,"skilled employee / official",1,"none","Yes","bad",10346
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",1,"female (divorced/separated/married)","none",1,"car or other",22,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",10359
