2021-01-20 09:42:24,665 : DEBUG : ModalContext :  : Joiner2NodeFactory : Shift Assignment : 4 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:24,666 : DEBUG : ModalContext :  : HiLiteHandler : Shift Assignment : 4 : Adding hilite translator to handler 74556cca-2734-4d78-8623-9a1a8689874d
2021-01-20 09:42:24,666 : DEBUG : ModalContext :  : HiLiteHandler : Shift Assignment : 4 : Adding hilite translator to handler 82540388-0147-4edd-94fa-276fcad337aa
2021-01-20 09:42:24,672 : DEBUG : ModalContext :  : StringManipulationNodeFactory : Shift Assignment : 4 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:24,676 : DEBUG : ModalContext :  : RecursiveLoopStartNodeFactory : Shift Assignment : 4 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:24,678 : DEBUG : ModalContext :  : RecursiveLoopEndNodeFactory : Shift Assignment : 4 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:24,685 : DEBUG : ModalContext :  : SorterNodeFactory : Shift Assignment : 4 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:24,692 : DEBUG : ModalContext :  : ReadTableNodeFactory : Shift Assignment : 4 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:24,826 : DEBUG : ModalContext :  : XLSReaderNodeFactory : Assignments Upload : 4:31 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:24,863 : DEBUG : ModalContext :  : FileUploadWidgetNodeFactory : Assignments Upload : 4:31 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:24,887 : DEBUG : ModalContext :  : WorkflowManager : Assignments Upload : 4:31 : Added new connection from node 4:31:0:30(1) to node 4:31:0:12(0)
2021-01-20 09:42:24,887 : DEBUG : ModalContext :  : WorkflowManager : Assignments Upload : 4:31 : Added new connection from node 4:31:0:12(1) to node 4:31:0:32(1)
2021-01-20 09:42:24,896 : DEBUG : ModalContext :  : Node : File Upload Widget : 4:31:0:30 : Configure succeeded. (File Upload Widget)
2021-01-20 09:42:24,896 : DEBUG : ModalContext :  : Node : Component Input : 4:31:0:31 : Configure succeeded. (Component Input)
2021-01-20 09:42:24,912 : DEBUG : ModalContext :  : VariableTypeRegistry : Excel Reader (XLS) (deprecated) : 4:31:0:12 : The following variable types could all correspond to the config 'element_names': [STRINGARRAY, BOOLEANARRAY, INTARRAY, LONGARRAY, DOUBLEARRAY]. Taking the first.
2021-01-20 09:42:24,912 : DEBUG : ModalContext :  : VariableTypeRegistry : Excel Reader (XLS) (deprecated) : 4:31:0:12 : The following variable types could all correspond to the config 'element_names': [STRINGARRAY, BOOLEANARRAY, INTARRAY, LONGARRAY, DOUBLEARRAY]. Taking the first.
2021-01-20 09:42:24,913 : DEBUG : ModalContext :  : Node : Excel Reader (XLS) (deprecated) : 4:31:0:12 : Configure succeeded. (Excel Reader (XLS) (deprecated))
2021-01-20 09:42:24,914 : DEBUG : ModalContext :  : Node : Component Output : 4:31:0:32 : Configure succeeded. (Component Output)
2021-01-20 09:42:24,914 : DEBUG : ModalContext :  : Node : File Upload Widget : 4:31:0:30 : Configure succeeded. (File Upload Widget)
2021-01-20 09:42:24,914 : DEBUG : ModalContext :  : Node : Component Input : 4:31:0:31 : Configure succeeded. (Component Input)
2021-01-20 09:42:24,988 : DEBUG : ModalContext :  : VariableTypeRegistry : Excel Reader (XLS) (deprecated) : 4:31:0:12 : The following variable types could all correspond to the config 'element_names': [STRINGARRAY, BOOLEANARRAY, INTARRAY, LONGARRAY, DOUBLEARRAY]. Taking the first.
2021-01-20 09:42:24,989 : DEBUG : ModalContext :  : VariableTypeRegistry : Excel Reader (XLS) (deprecated) : 4:31:0:12 : The following variable types could all correspond to the config 'element_names': [STRINGARRAY, BOOLEANARRAY, INTARRAY, LONGARRAY, DOUBLEARRAY]. Taking the first.
2021-01-20 09:42:24,989 : DEBUG : ModalContext :  : Node : Excel Reader (XLS) (deprecated) : 4:31:0:12 : Configure succeeded. (Excel Reader (XLS) (deprecated))
2021-01-20 09:42:24,989 : DEBUG : ModalContext :  : Node : Component Output : 4:31:0:32 : Configure succeeded. (Component Output)
